Record Number,Building Use,Property Address,CO Issue Date,Occupancy Classification,Square Footage,Number of Stories,Parcel Status
PB01-02745,Education,3504 KIM BO RD,07/08/2003,F-1,0,1,A
PB01-02745,Education,3504 KIM BO RD,07/08/2003,A-2,0,1,A
PB01-02745,Education,3504 KIM BO RD,07/08/2003,A-3,0,1,A
PB01-02745,Education,3504 KIM BO RD,07/08/2003,E,62770,1,A
PB01-03402,Education,519 E BUTLER ST,02/04/2004,B,0,2,A
PB01-03402,Education,519 E BUTLER ST,02/04/2004,E,16146,2,A
PB01-03798,Education,9450 RAY WHITE RD,02/05/2004,E,20020,1,A
PB01-04625,Education,2000 PARK PLACE AVE,02/04/2004,A,0,2,A
PB01-04625,Education,2000 PARK PLACE AVE,02/04/2004,E,27449,2,A
PB01-04954,Education,958 PAGE ST,07/02/2004,E,247,2,A
PB01-04955,Education,958 PAGE ST,07/02/2004,A-3,0,2,A
PB01-04955,Education,958 PAGE ST,07/02/2004,E,0,2,A
PB01-06010,Education,6817 CUMBERLAND RD,11/18/2003,E,20941,0,A
PB02-01161,Education,4630 M CPHERSON BLVD,02/23/2004,E,119630,0,A
PB02-01801,Education,5700 RAM EY AVE,01/22/2004,M,430,1,A
PB02-01859,Education,3600 WEBER ST,05/15/2003,E,9935,0,A
PB02-01871,Education,6101 M C CART AVE,12/08/2003,E,255,0,A
PB02-01872,Education,6101 M C CART AVE,12/08/2003,E,505,0,A
PB02-01874,Education,6101 M C CART AVE,12/08/2003,E,255,0,A
PB02-01982,Education,3301 YUCCA AVE,08/26/2004,E,7013,0,A
PB02-01983,Education,3301 YUCCA AVE,08/26/2004,A-2,1647,0,A
PB02-02234,Education,3001 AZLE AVE,09/22/2004,E,18260,0,A
PB02-03615,Education,3201 SOUTH HILLS AVE,03/07/2003,E,4136,1,A
PB02-03885,Education,3816 STADIUM  DR,06/02/2003,E,7926,1,A
PB02-04834,Education,3908 M C CART AVE,05/07/2004,E,4169,0,A
PB02-04958,Education,4300 CLAY AVE,01/15/2004,A-2,6098,0,A
PB02-05502,Education,2301 TEXAN DR,01/08/2003,E,3210,1,A
PB02-05502,Education,2301 TEXAN DR,01/08/2003,A-4,13000,1,A
PB02-05562,Education,2301 TEXAN DR,02/04/2003,B,140,1,A
PB02-05572,Education,2301 TEXAN DR,02/04/2003,U,1474,10,A
PB02-06114,Education,401 SAM UELS AVE,05/10/2005,E,922,0,A
PB02-06115,Education,401 SAM UELS AVE,05/10/2005,E,4386,0,A
PB02-06118,Education,709 NW 21ST ST,07/02/2004,E,2400,3,A
PB02-06602,Education,2300 HEM PHILL ST,05/04/2004,A-3,6335,0,A
PB02-06860,Education,3001 FOREST PARK BLVD,04/08/2004,M,300,0,A
PB02-08631,Education,6250 SOUTH FWY,08/17/2003,E,551,0,A
PB02-09706,Education,9700 SAINTS CIR,11/04/2003,A-3,7342,1,A
PB02-12752,Education,2805 LAREDO DR,10/29/2004,E,20066,1,A
PB02-13222,Education,3700 W BERRY ST,02/05/2003,A-5,288,2,A
PB02-13489,Education,3604 CIM MARON TRL,08/10/2004,E,21346,1,A
PB03-00645,Education,2801 COUNTRY CREEK LN,10/13/2003,E,7808,0,A
PB03-00648,Education,6651 OAKM ONT TRL,09/04/2003,U,2773,1,A
PB03-00648,Education,6651 OAKM ONT TRL,09/04/2003,E,3062,1,A
PB03-04411,Education,701 AM ERICAN FLYER BLVD,01/12/2004,E,14812,2,A
PB03-05655,Education,3301 YUCCA AVE,01/13/2004,A-5,430,1,A
PB03-07016,Education,8601 RANDOL M ILL RD,02/05/2020,E,10891,0,A
PB03-07144,Education,3000 STADIUM  DR,05/05/2004,A-3,24850,2,A
PB03-07427,Education,7148 TRAIL LAKE DR,08/18/2004,E,5064,1,A
PB04-02342,Education,1300 CONNER AVE,11/30/2006,E,209,1,A
PB04-02343,Education,1300 CONNER AVE,11/30/2006,A-3,2918,1,A
PB04-02344,Education,1300 CONNER AVE,11/30/2006,E,11020,1,A
PB04-10831,Education,2800 S UNIVERSITY DR,12/21/2004,A-3,4333,0,A
PB04-11021,Education,9601 N NORM ANDALE ST,07/28/2005,F-1,864,0,A
PB04-13014,Education,2200 TEXAN DR,09/07/2005,E,20790,0,A
PB04-13923,Education,1937 TEXAN DR,08/25/2005,A-5,29114,2,A
PB04-14599,Education,3800 W RISINGER RD,02/13/2007,E,21500,0,A
PB05-02257,Education,5805 W BAILEY BOSWELL RD,05/25/2006,B,74,0,A
PB05-02257,Education,5805 W BAILEY BOSWELL RD,05/25/2006,B,198,0,A
PB05-02257,Education,5805 W BAILEY BOSWELL RD,05/25/2006,B,1460,0,A
PB05-02257,Education,5805 W BAILEY BOSWELL RD,05/25/2006,B,114,0,A
PB05-02543,Education,3420 W RISINGER RD,03/23/2006,I-4,9943,0,A
PB05-05143,Education,9729 SAINTS CIR S,06/08/2006,E,31200,0,A
PB05-07086,Education,2722 W BERRY ST,10/05/2005,B,13468,0,A
PB05-08714,Education,2701 BURCHILL RD,12/05/2005,E,1536,0,A
PB05-11560,Education,5400 SHIVER RD,08/04/2006,E,81418,0,A
PB05-11560,Education,5400 SHIVER RD,08/04/2006,E,81418,0,A
PB05-11561,Education,11773 BRAY BIRCH DR,08/04/2006,E,81418,0,A
PB05-11561,Education,11773 BRAY BIRCH DR,08/04/2006,E,81418,0,A
PB05-13061,Education,4117 KELLER HICKS RD,06/15/2006,I-4,18602,0,A
PB05-16348,Education,501 OAKLAND BLVD,12/11/2006,A-3,3521,0,A
PB05-16348,Education,501 OAKLAND BLVD,12/11/2006,B,0,0,A
PB05-16404,Education,12500 S PIPELINE RD,01/11/2007,E,8758,1,A
PB06-05460,Education,3102 M AIN DR,01/10/2008,R-2,48145,0,A
PB06-05460,Education,3102 M AIN DR,01/10/2008,A-3,1921,0,A
PB06-08435,Education,1112 WESLEYAN ST,01/22/2007,A-3,3350,0,A
PB06-12430,Education,10236 SUM MER CREEK DR,07/17/2008,E,142223,0,A
PB06-12430,Education,10236 SUM MER CREEK DR,07/17/2008,B,5268,0,A
PB06-12430,Education,10236 SUM MER CREEK DR,07/17/2008,A-2,11025,0,A
PB06-12430,Education,10236 SUM MER CREEK DR,07/17/2008,A-3,26359,0,A
PB06-14779,Education,1062 EVANS AVE,11/21/2008,A-3,12590,0,A
PB06-16387,Education,2901 STADIUM  DR,10/06/2008,M,4040,0,A
PB06-16387,Education,2901 STADIUM  DR,10/06/2008,A-2,41760,0,A
PB06-16387,Education,2901 STADIUM  DR,10/06/2008,A-3,39365,0,A
PB06-16387,Education,2901 STADIUM  DR,10/06/2008,B,51707,0,A
PB06-16509,Education,8901 OAK GROVE RD,06/03/2008,A-3,5363,1,A
PB06-16509,Education,8901 OAK GROVE RD,06/03/2008,E,10411,1,A
PB07-00313,Education,245 E BELKNAP ST,08/03/2011,B,67782,0,A
PB07-00316,Education,201 E BELKNAP ST,08/03/2011,B,48515,0,A
PB07-00356,Education,201 E BELKNAP ST,08/03/2011,A3,4601,0,A
PB07-01265,Education,5805 W BAILEY BOSWELL RD,01/15/2008,A-3,8540,0,A
PB07-01265,Education,5805 W BAILEY BOSWELL RD,01/15/2008,E,800,0,A
PB07-01265,Education,5805 W BAILEY BOSWELL RD,01/15/2008,A-3,2250,0,A
PB07-01265,Education,5805 W BAILEY BOSWELL RD,01/15/2008,A-3,800,0,A
PB07-01265,Education,5805 W BAILEY BOSWELL RD,01/15/2008,A-3,11480,0,A
PB07-03433,Education,1216 DIAMONDBACK LN,08/22/2008,A-2,21808,0,A
PB07-03433,Education,1216 DIAMONDBACK LN,08/22/2008,E,59383,0,A
PB07-03680,Education,10525 M C CART AVE,02/18/2009,E,82495,0,A
PB07-03718,Education,2500 CANTRELL SANSOM RD,06/26/2008,A-3,14915,0,A
PB07-03718,Education,2500 CANTRELL SANSOM RD,06/26/2008,E,77105,0,A
PB07-04323,Education,4040 HERITAGE TRACE PKWY,11/26/2007,E,2718,0,A
PB07-04734,Education,13535 ALTA VISTA RD,10/10/2007,E,1472,1,A
PB07-04737,Education,13541 ALTA VISTA RD,10/10/2007,U,697,1,A
PB07-04738,Education,13523 ALTA VISTA RD,10/10/2007,E,1472,1,A
PB07-05201,Education,5301 CAM PUS DR,05/13/2008,B,16337,0,A
PB07-05201,Education,5301 CAM PUS DR,05/13/2008,B,3823,0,A
PB07-06867,Education,7600 LOWERY RD,11/12/2007,E,115,1,A
PB07-07273,Education,8350 PARKWOOD HILL BLVD,08/07/2008,E,16297,1,A
PB07-08615,Education,4200 COUNTRY DAY LN,08/18/2008,A-2,24849,1,A
PB07-10738,Education,12301 GREY TWIG DR,11/14/2008,E,96809,0,A
PB07-11236,Education,1601 COUNTRY MANOR RD,09/29/2008,E,6355,0,A
PB07-11304,Education,"6333 CAM P BOWIE BLVD, SUITE 260",01/22/2008,F-1,2284,1,A
PB07-12764,Education,3100 CLAY MOUNTAIN TRL,11/14/2008,E,92461,0,A
PB07-13371,Education,701 TIERRA VISTA WAY,01/29/2008,E,1504,0,A
PB07-13382,Education,3550 KELLER HICKS RD,11/17/2008,E,36136,0,A
PB07-13383,Education,3550 KELLER HICKS RD,11/14/2008,F-1,2103,0,A
PB08-01112,Education,6129 TEXAS SHINER DR,08/11/2009,E,152475,2,A
PB08-01112,Education,6129 TEXAS SHINER DR,08/11/2009,E,152475,2,A
PB08-01545,Education,12350 TIM BERLAND BLVD,04/13/2010,E,396117,2,A
PB08-01548,Education,12350 TIM BERLAND BLVD,04/05/2010,B,4581,1,A
PB08-02977,Education,4714 TOWNSEND DR,08/04/2009,R-2,6473,2,A
PB08-05348,Education,4200 COUNTRY DAY LN,10/17/2008,B,3075,0,A
PB08-05439,Education,2006 N HOUSTON ST,01/08/2010,E,12603,3,A
PB08-05439,Education,2006 N HOUSTON ST,01/08/2010,E,17253,3,A
PB08-05506,Education,3428 CLAYTON RD E,11/21/2008,A-3-3,1990,0,A
PB08-05619,Education,14081 WILLOW SPRINGS RD,07/23/2009,E,14903,1,A
PB08-06179,Education,285 OLD HWY 1187,03/13/2009,I-4,19985,2,A
PB08-06725,Education,8400 W CLEBURNE RD,11/18/2009,F-1,2736,1,A
PB08-06725,Education,8400 W CLEBURNE RD,11/18/2009,E,57504,1,A
PB08-06725,Education,8400 W CLEBURNE RD,11/18/2009,S-1,5104,1,A
PB08-06725,Education,8400 W CLEBURNE RD,11/18/2009,A-3,16286,1,A
PB08-07169,Education,16301 ELEM ENTARY DR,07/31/2009,A-2,21808,1,A
PB08-07169,Education,16301 ELEM ENTARY DR,07/31/2009,A-2,21808,1,A
PB08-07169,Education,16301 ELEM ENTARY DR,07/31/2009,E,59383,1,A
PB08-07169,Education,16301 ELEM ENTARY DR,07/31/2009,E,59383,1,A
PB08-07224,Education,4601 HUFFINES BLVD,06/10/2009,E,16281,1,A
PB08-08086,Education,10201 WAREHOUSE WAY,12/10/2009,S-1,8892,1,A
PB08-08998,Education,140 EXPEDITION DR,05/22/2009,U,322,1,A
PB08-08998,Education,140 EXPEDITION DR,05/22/2009,I-4,10685,1,A
PB08-10322,Education,901 BAURLINE ST,01/15/2009,E,1536,0,A
PB08-10324,Education,2501 COOKS LN,01/15/2009,E,1536,0,A
PB08-10514,Education,2200 TEXAN DR,08/20/2009,E,0,2,A
PB08-10514,Education,2200 TEXAN DR,08/20/2009,A-3,15792,2,A
PB08-10514,Education,2200 TEXAN DR,08/20/2009,S-1,0,2,A
PB08-11122,Education,824 HUDGINS AVE,01/29/2010,E,11981,0,A
PB08-11341,Education,4200 COUNTRY DAY LN,03/23/2009,A-3,4800,0,A
PB08-11429,Education,4200 COUNTRY DAY LN,09/30/2009,E,5100,0,A
PB08-11640,Education,1300 W EVERM AN PKWY,08/31/2010,E,12308,1,A
PB08-12345,Education,6228 CRYSTAL LAKE DR,10/14/2010,A-3,13147,1,A
PB09-01089,Education,2400 E SEM INARY DR,01/04/2010,E,252000,0,A
PB09-01090,Education,5101 JEWELL KELLY DR,02/19/2010,S-1,4648,1,A
PB09-01090,Education,5101 JEWELL KELLY DR,02/19/2010,U,1428,1,A
PB09-01220,Education,4217 AVE M,04/26/2010,E,1536,0,A
PB09-02496,Education,8601 RANDOL M ILL RD,09/25/2009,E,1536,1,A
PB09-02497,Education,8601 RANDOL M ILL RD,02/05/2020,E,1536,1,A
PB09-03987,Education,2900 CANTON DR,10/06/2011,E,3523,1,A
PB09-04053,Education,1809 NE 36TH ST,06/18/2010,E,15630,0,A
PB09-05704,Education,10300 OLD DENTON RD,07/28/2011,E,90659,2,A
PB09-05704,Education,10300 OLD DENTON RD,07/28/2011,A-3,31500,2,A
PB09-05704,Education,10300 OLD DENTON RD,07/28/2011,E,58062,2,A
PB09-06118,Education,5651 WESTCREEK DR,09/04/2013,E,44000,1,A
PB09-07273,Education,4200 COUNTRY DAY LN,08/26/2010,A-3,5840,1,A
PB09-07274,Education,2000 TEXAN DR,01/25/2010,A-5,2250,1,A
PB09-07288,Education,3372 HIGH SCHOOL DR,04/05/2010,A-5,0,0,A
PB09-07889,Education,1818 ROBERTS CUT OFF RD,08/09/2010,E,3500,1,A
PB09-08124,Education,301 E BELKNAP ST,08/03/2011,F-1,6816,0,A
PB09-08326,Education,8653 N BEACH ST,10/19/2009,B,1008,1,A
PB09-08941,Education,5201 EDUCATORS WAY,03/28/2013,E,220542,2,A
PB09-08941,Education,5201 EDUCATORS WAY,03/28/2013,A-1,19411,2,A
PB09-08941,Education,5201 EDUCATORS WAY,03/28/2013,B,29623,2,A
PB09-08941,Education,5201 EDUCATORS WAY,03/28/2013,S-1,42782,2,A
PB09-08941,Education,5201 EDUCATORS WAY,03/28/2013,A-3,88773,2,A
PB09-10118,Education,5917 SHELTON ST,05/05/2010,E,1344,0,A
PB09-10119,Education,5917 SHELTON ST,05/04/2010,E,1344,0,A
PB10-00133,Education,10300 OLD DENTON RD,07/28/2011,B,2187,0,A
PB10-00564,Education,3000 FOREST AVE,12/09/2011,F-1,4125,3,A
PB10-00564,Education,3000 FOREST AVE,12/09/2011,A-3,39230,3,A
PB10-00564,Education,3000 FOREST AVE,12/09/2011,S-1,8220,3,A
PB10-00564,Education,3000 FOREST AVE,12/09/2011,E,102705,3,A
PB10-00564,Education,3000 FOREST AVE,12/09/2011,B,17140,3,A
PB10-02454,Education,1501 W SEM INARY DR,08/06/2010,E,1523,1,A
PB10-02455,Education,1501 W SEM INARY DR,08/06/2010,E,1523,1,A
PB10-05013,Education,440 WISHBONE LN,08/02/2011,E,72968,0,A
PB10-05013,Education,440 WISHBONE LN,08/02/2011,A-3,10131,0,A
PB10-05989,Education,4300 CAM PUS DR,10/19/2010,E,1514,1,A
PB10-05991,Education,709 NW 21ST ST,10/12/2010,E,1514,1,A
PB10-05998,Education,2751 M ISSISSIPPI AVE,10/04/2010,E,1536,1,A
PB10-09241,Education,2900 W BERRY ST,12/30/2010,B,1700,1,A
PB10-09405,Education,1220 M ESA CREST DR,08/29/2011,E,73369,1,A
PB10-09405,Education,1220 M ESA CREST DR,08/29/2011,A-3,13588,1,A
PB10-09757,Education,2501 COOKS LN,01/27/2011,B,1523,10,A
PB10-09759,Education,5701 SHELTON ST,07/11/2011,E,1523,1,A
PB10-10313,Education,3316 AVE N,10/04/2011,E,13517,10,A
PB11-00630,Education,4100 ALTAM ESA BLVD,03/31/2011,E,1536,1,A
PB11-00631,Education,1411 M AYDELL ST,03/31/2011,E,1536,0,A
PB11-02936,Education,2800 STARK ST,06/23/2011,A-3,3375,0,A
PB11-04146,Education,1101 NASHVILLE AVE,08/12/2011,E,1523,1,A
PB11-04164,Education,5701 SHELTON ST,09/14/2011,E,1523,1,A
PB11-04165,Education,5701 SHELTON ST,08/12/2011,E,1523,1,A
PB11-04454,Education,4628 VIRGIL ST,12/01/2014,B,116,1,A
PB11-04454,Education,4628 VIRGIL ST,12/01/2014,S-2,370,1,A
PB11-04454,Education,4628 VIRGIL ST,12/01/2014,E,532,1,A
PB11-05135,Education,3301 YUCCA AVE,08/18/2011,E,1523,1,A
PB11-05137,Education,3301 YUCCA AVE,08/18/2011,E,1523,1,A
PB11-05141,Education,1101 NASHVILLE AVE,08/12/2011,E,1523,1,A
PB11-05632,Education,4200 COUNTRY DAY LN,08/13/2012,E,13920,0,A
PB11-05632,Education,4200 COUNTRY DAY LN,08/13/2012,E,1200,0,A
PB11-05762,Education,6201 SUNSET DR,11/01/2011,E,5314,1,A
PB11-05762,Education,6201 SUNSET DR,11/01/2011,E,0,1,A
PB11-06665,Education,4501 BARBARA RD,09/04/2012,E,89040,2,A
PB11-06665,Education,4501 BARBARA RD,09/04/2012,A,10605,2,A
PB11-06665,Education,4501 BARBARA RD,09/04/2012,F,3015,2,A
PB11-08557,Education,3316 AVE N,12/02/2011,E,1523,1,A
PB11-08559,Education,2617 M IM S ST,12/02/2011,E,1523,1,A
PB11-08560,Education,5816 RICKENBACKER PL,02/14/2012,E,1536,1,A
PB11-10401,Education,2850 STADIUM  DR,10/30/2012,A-5,163048,1,A
PB11-10401,Education,2850 STADIUM  DR,10/30/2012,B,6814,1,A
PB11-10401,Education,2850 STADIUM  DR,10/30/2012,S-1,3293,1,A
PB12-01038,Education,1801 S BEACH ST,08/17/2012,B,2457,1,A
PB12-01038,Education,1801 S BEACH ST,08/17/2012,E,24293,1,A
PB12-01038,Education,1801 S BEACH ST,08/17/2012,S-1,4505,1,A
PB12-01038,Education,1801 S BEACH ST,08/17/2012,A-2,3670,1,A
PB12-03092,Education,5832 E BERRY ST,05/11/2012,S-1,2400,0,A
PB12-03092,Education,5832 E BERRY ST,05/11/2012,B,560,0,A
PB12-03092,Education,5832 E BERRY ST,05/11/2012,E,1240,0,A
PB12-04477,Education,3600 POND DR,07/16/2013,R-1,77210,4,A
PB12-04477,Education,3600 POND DR,07/16/2013,S-1,14820,4,A
PB12-04477,Education,3600 POND DR,07/16/2013,B,2834,4,A
PB12-04477,Education,3600 POND DR,07/16/2013,A-3,1152,4,A
PB12-04477,Education,3600 POND DR,07/16/2013,U,2158,4,A
PB12-04924,Education,6101 M C CART AVE,08/21/2012,E,1523,1,A
PB12-04929,Education,2805 LAREDO DR,08/21/2012,E,1514,1,A
PB12-04930,Education,3060 OVERTON PARK DR W,08/21/2012,E,1514,1,A
PB12-04931,Education,4300 CAM PUS DR,08/20/2012,E,1514,1,A
PB12-04977,Education,5006 JAM ES AVE,01/03/2013,E,6000,0,A
PB12-05394,Education,101 W PAFFORD ST,09/13/2012,E,16157,0,A
PB12-05591,Education,4801 M ARINE CREEK PKWY,07/10/2013,A-4,00,0,A
PB12-08156,Education,9700 SAINTS CIR,08/27/2013,E,11099,1,A
PB12-09462,Education,3001 FOREST PARK BLVD,12/20/2012,E,1515,0,A
PB12-09463,Education,3001 FOREST PARK BLVD,12/20/2012,E,1515,0,A
PB12-10122,Education,6323 CAM P BOWIE BLVD,01/28/2013,B,3455,1,A
PB12-10185,Education,1701 WIND STAR WAY,11/19/2013,E,0,0,A
PB12-10185,Education,1701 WIND STAR WAY,11/19/2013,A-3,0,0,A
PB12-10185,Education,1701 WIND STAR WAY,11/19/2013,A-3,0,0,A
PB12-10336,Education,4801 M ARINE CREEK PKWY,11/07/2013,F-2,3105,0,A
PB13-01482,Education,4936 DEXTER AVE,03/19/2014,A-3,3772,1,A
PB13-01565,Education,4801 M ARINE CREEK PKWY,08/22/2013,M,3815,0,A
PB13-02168,Education,5301 CAM PUS DR,08/01/2013,B,11625,1,A
PB13-02169,Education,4801 M ARINE CREEK PKWY,07/29/2013,A-3,0,0,A
PB13-02270,Education,2800 W BOWIE ST,01/27/2015,S-1,3986,3,A
PB13-02270,Education,2800 W BOWIE ST,01/27/2015,B,22470,3,A
PB13-02270,Education,2800 W BOWIE ST,01/27/2015,A-3,10069,3,A
PB13-02273,Education,2901 W LOWDEN ST,01/27/2015,A-3,17757,3,A
PB13-02273,Education,2901 W LOWDEN ST,01/27/2015,B,39288,3,A
PB13-02273,Education,2901 W LOWDEN ST,01/27/2015,S-1,4854,3,A
PB13-02967,Education,5301 CAM PUS DR,08/23/2013,B,0,1,A
PB13-03291,Education,3550 POND DR,09/02/2014,R-2,53247,5,A
PB13-03291,Education,3550 POND DR,09/02/2014,S-1,14240,5,A
PB13-03291,Education,3550 POND DR,09/02/2014,B,6406,5,A
PB13-05150,Education,2749 PUTNAM  ST,08/16/2013,E,1515,1,A
PB13-05151,Education,"3201 REFUGIO AVE, UNIT M 195",09/04/2013,E,1515,1,A
PB13-05153,Education,3801 W 7TH ST,08/16/2013,E,1515,1,A
PB13-05154,Education,4300 CAM PUS DR,08/16/2013,E,1515,1,A
PB13-05156,Education,3718 LISBON ST,08/16/2013,E,1515,1,A
PB13-05157,Education,2617 M IM S ST,08/16/2013,E,1515,1,A
PB13-05159,Education,3201 SOUTH HILLS AVE,08/16/2013,E,1515,1,A
PB13-05161,Education,1204 E BROADUS ST,08/16/2013,E,1515,1,A
PB13-05162,Education,6101 M C CART AVE,08/28/2013,E,1515,1,A
PB13-05170,Education,12350 TIM BERLAND BLVD,08/08/2014,E,40733,2,A
PB13-05292,Education,3701 GARDEN SPRINGS DR,08/08/2013,E,1500,1,A
PB13-05293,Education,1320 W EVERM AN PKWY,08/08/2013,E,1500,1,A
PB13-05326,Education,2855 S UNIVERSITY DR,01/27/2015,B,3148,3,A
PB13-05628,Education,3001 FOREST PARK BLVD,08/16/2013,E,1515,1,A
PB13-05768,Education,1350 EAGLE BLVD,01/05/2016,E,87694,3,A
PB13-05768,Education,1350 EAGLE BLVD,01/05/2016,E,88800,3,A
PB13-05768,Education,1350 EAGLE BLVD,01/05/2016,A-3,32684,3,A
PB13-05768,Education,1350 EAGLE BLVD,01/05/2016,E,315843,3,A
PB13-06914,Education,3200 SANGUINET ST,02/26/2015,B,19778,2,A
PB13-06914,Education,3200 SANGUINET ST,02/26/2015,A-3,7311,2,A
PB13-06914,Education,3200 SANGUINET ST,02/26/2015,I-4,15198,2,A
PB13-07042,Education,9100 S HULEN ST,03/28/2014,E,989,1,A
PB13-07043,Education,3701 GARDEN SPRINGS DR,03/28/2014,E,4190,1,A
PB13-07103,Education,1320 W EVERM AN PKWY,03/28/2014,E,4355,1,A
PB13-07105,Education,6651 OAKM ONT TRL,03/28/2014,E,4355,1,A
PB13-07107,Education,8700 VIRIDIAN LN,03/28/2014,E,4368,1,A
PB13-07109,Education,4630 M CPHERSON BLVD,03/28/2014,E,2034,1,A
PB13-07141,Education,7050 LAKE COUNTRY DR,09/26/2013,B,66,3,A
PB13-08569,Education,3309 W LONG AVE,02/06/2014,E,1536,1,A
PB13-08573,Education,"4300 CAM PUS DR, BLDG M 9719",01/23/2014,E,1536,1,A
PB13-08622,Education,5021 STANLEY AVE,12/30/2013,E,4932,1,A
PB13-09300,Education,3407 SYCAM ORE SCHOOL RD,08/25/2014,B,3287,1,A
PB13-09423,Education,2963 W LOWDEN ST,01/27/2015,A-3,4400,1,A
PB13-09423,Education,2963 W LOWDEN ST,01/27/2015,A-3,294,1,A
PB13-09425,Education,2963 W LOWDEN ST,01/27/2015,A-3,2392,1,A
PB13-10103,Education,7309 SHERIDAN RD,03/26/2014,E,720,1,A
PB13-10485,Education,2000 WINTER HAWK DR,08/07/2014,E,16082,2,A
PB13-10753,Education,2000 WINTER HAWK DR,08/07/2014,E,13771,2,A
PB13-10927,Education,505 W FELIX ST,03/04/2015,A-3,3784,1,A
PB13-10927,Education,505 W FELIX ST,03/04/2015,B,57217,1,A
PB13-11100,Education,"4324 HERITAGE TRACE PKWY, SUITE 809",01/23/2014,E,1922,1,A
