Record Number,Building Use,Property Address,CO Issue Date,Occupancy Classification,Square Footage,Number of Stories,Parcel Status
PB18-01903,Education,2901 NORTHWEST COLLEGE DR,12/10/2018,B,3000,1,A
PB18-02904,Education,3620 M ODLIN AVE,07/23/2018,B,789,1,A
PB18-02904,Education,3620 M ODLIN AVE,07/23/2018,E,4717,1,A
PB18-03080,Education,3165 E ROSEDALE ST,07/24/2019,M,4139,1,A
PB18-03080,Education,3165 E ROSEDALE ST,07/24/2019,B,12191,1,A
PB18-03080,Education,3165 E ROSEDALE ST,07/24/2019,A-2,26718,1,A
PB18-03412,Education,2840 W BOWIE ST,08/29/2018,B,6537,1,A
PB18-03412,Education,2840 W BOWIE ST,08/29/2018,A-1,1200,1,A
PB18-03488,Education,11801 CAM P BOWIE WEST BLVD,01/16/2020,E,11810,A,PB18-04174
PB18-04174,Education,3432 POND DR,07/30/2019,B,4850,1,A
PB18-04174,Education,3432 POND DR,07/30/2019,A-3,875,1,A
PB18-04174,Education,3432 POND DR,07/30/2019,S-1,2428,1,A
PB18-04176,Education,3412 POND DR,07/30/2019,S-1,1097,1,A
PB18-04176,Education,3412 POND DR,07/30/2019,B,3954,1,A
PB18-04176,Education,3412 POND DR,07/30/2019,R-2,50879,1,A
PB18-04176,Education,3412 POND DR,07/30/2019,A-3,875,1,A
PB18-04238,Education,2900 PRINCETON ST,06/12/2019,B,28291,1,A
PB18-04238,Education,2900 PRINCETON ST,06/12/2019,A-3,7598,1,A
PB18-04238,Education,2900 PRINCETON ST,06/12/2019,S-1,887,1,A
PB18-04672,Education,300 TRINITY CAM PUS CIR,07/30/2018,S-1,684,1,A
PB18-04672,Education,300 TRINITY CAM PUS CIR,07/30/2018,A-3,2276,1,A
PB18-04700,Education,6301 ROCKROSE TRL,11/01/2019,S-1,7356,2,A
PB18-04700,Education,6301 ROCKROSE TRL,11/01/2019,B,4477,2,A
PB18-04700,Education,6301 ROCKROSE TRL,11/01/2019,E,84681,2,A
PB18-04785,Education,3001 FOREST PARK BLVD,04/18/2019,S-1,1290,2,A
PB18-04785,Education,3001 FOREST PARK BLVD,04/18/2019,A-4,17110,2,A
PB18-04785,Education,3001 FOREST PARK BLVD,04/18/2019,B,5297,2,A
PB18-04785,Education,3001 FOREST PARK BLVD,04/18/2019,A-3,6068,2,A
PB18-05629,Education,9700 SAINTS CIR,07/20/2018,E,2787,1,A
PB18-05824,Education,6410 BRYANT IRVIN RD,11/15/2019,E,12399,A,PB18-05981
PB18-06005,Education,8401 CALM ONT AVE,02/06/2020,E,1536,1,A
PB18-06013,Education,9100 S HULEN ST,08/20/2019,E,6772,1,A
PB18-06015,Education,9100 S HULEN ST,11/01/2019,S-1,1152,1,A
PB18-06015,Education,9100 S HULEN ST,11/01/2019,E,23976,1,A
PB18-06015,Education,9100 S HULEN ST,11/01/2019,B,559,1,A
PB18-06021,Education,9100 S HULEN ST,08/20/2019,B,200,1,A
PB18-06021,Education,9100 S HULEN ST,08/20/2019,E,7695,1,A
PB18-06021,Education,9100 S HULEN ST,08/20/2019,S-1,992,1,A
PB18-06688,Education,8061 S HULEN ST,03/07/2019,E,4895,A,PB18-09006
PB18-09006,Education,300 TRINITY CAM PUS CIR BLDG c - 5,01/04/2019,B,6021,1,A
PB18-09006,Education,300 TRINITY CAM PUS CIR BLDG c - 5,01/04/2019,A-3,10146,1,A
PB18-09234,Education,6020 TEN M ILE BRIDGE RD,02/18/2019,E,76450,A,PB18-09234
PB18-09234,Education,6020 TEN M ILE BRIDGE RD,02/18/2019,E,76450,A,PB18-09234
PB18-11035,Education,3000 CHERRY LN,06/08/2020,S-1,2155,1,A
PB18-11035,Education,3000 CHERRY LN,06/08/2020,E,77021,1,A
PB18-11035,Education,3000 CHERRY LN,06/08/2020,B,2696,1,A
PB18-11113,Education,3015 M ERIDA AVE,02/20/2019,S-1,160,1,A
PB18-11113,Education,3015 M ERIDA AVE,02/20/2019,B,1014,1,A
PB18-11113,Education,3015 M ERIDA AVE,02/20/2019,A-3,2160,1,A
PB18-11121,Education,440 WISHBONE LN,10/10/2019,E,3866,A,PB18-11121
PB18-11121,Education,440 WISHBONE LN,10/10/2019,E,12389,A,PB18-11121
PB18-11122,Education,1216 DIAMONDBACK LN,10/10/2019,A-2,21808,A,PB18-11122
PB18-11122,Education,1216 DIAMONDBACK LN,10/10/2019,E,59383,A,PB18-11544
PB18-11544,Education,10800 CHAPIN RD,09/27/2019,S-1,1339,1,A
PB18-11544,Education,10800 CHAPIN RD,09/27/2019,B,3619,1,A
PB18-11545,Education,10860 CHAPIN RD,09/27/2019,E,16338,1,A
PB18-11545,Education,10860 CHAPIN RD,09/27/2019,S-1,1284,1,A
PB18-13078,Education,2211 M C KINLEY AVE,09/25/2020,E,4969,1,A
PB18-13865,Education,8801 COPPER M EADOW DR,07/26/2021,E,77197,1,A
PB18-14317,Education,5700 RAM EY AVE,12/12/2019,E,13872,A,PB18-14355
PB18-14629,Education,1257 AVONDALE HASLET RD,10/06/2020,I-4,10930,A,PB18-15027
PB18-15027,Education,9750 SAINTS CIR,09/18/2019,B,2614,1,A
PB18-15029,Education,9749 SAINTS CIR,09/18/2019,B,3552,1,A
PB18-15078,Education,9705 SAINTS CIR,09/18/2019,S-1,1363,1,A
PB18-15078,Education,9705 SAINTS CIR,09/18/2019,B,480,1,A
PB18-15078,Education,9705 SAINTS CIR,09/18/2019,E,11060,1,A
PB18-15138,Education,2400 E SEM INARY DR,09/24/2019,A-3,5640,A,PB19-00001
PB19-00335,Education,3001 HULEN ST,06/08/2020,A-3,5112,A,PB19-00335
PB19-01063,Education,2453 E SEM INARY DR,10/29/2019,R-4,2418,1,A
PB19-01064,Education,2457 E SEM INARY DR,10/29/2019,R-4,2418,1,A
PB19-01065,Education,2461 E SEM INARY DR,10/28/2019,R-4,2418,1,A
PB19-01516,Education,3604 CIM MARON TRL,02/06/2020,E,1536,A,PB19-01517
PB19-01518,Education,3604 CIM MARON TRL,02/06/2020,E,1536,A,PB19-03348
PB19-03348,Education,7387 S HULEN ST,10/17/2019,E,666,1,A
PB19-03572,Education,9056 TEHAM A RIDGE PKWY,04/30/2021,E,10000,1,A
PB19-03914,Education,1300 W LANCASTER AVE,08/19/2019,E,6244,1,A
PB19-03914,Education,1300 W LANCASTER AVE,08/19/2019,S-1,835,1,A
PB19-03914,Education,1300 W LANCASTER AVE,08/19/2019,B,4042,1,A
PB19-03914,Education,1300 W LANCASTER AVE,08/19/2019,B,1564,1,A
PB19-04022,Education,2520 PRECINCT LINE RD,02/03/2021,E,89576,A,PB19-05344
PB19-06560,Education,4865 BRIARHAVEN RD,03/22/2021,E,91856,A,PB19-06850
PB19-08018,Education,1640 ALTAM ESA BLVD,09/03/2020,E,79201,1,A
PB19-08018,Education,1640 ALTAM ESA BLVD,09/03/2020,S-1,2193,1,A
PB19-08018,Education,1640 ALTAM ESA BLVD,09/03/2020,B,3297,1,A
PB19-08022,Education,4501 BRIDGE ST,08/05/2020,S-1,1124,1,A
PB19-08022,Education,4501 BRIDGE ST,08/05/2020,E,28338,1,A
PB19-08023,Education,4501 BRIDGE ST,08/05/2020,E,19839,1,A
PB19-08023,Education,4501 BRIDGE ST,08/05/2020,S-1,1682,1,A
PB19-08265,Education,1411 M AYDELL ST,08/21/2019,E,1536,A,PB19-08266
PB19-08389,Education,7633 HARRIS PARKWAY,07/16/2020,S-1,1488,2,A
PB19-08389,Education,7633 HARRIS PARKWAY,07/16/2020,E,41172,2,A
PB19-08389,Education,7633 HARRIS PARKWAY,07/16/2020,B,2951,2,A
PB19-08810,Education,1411 M AYDELL ST,08/20/2019,E,1536,A,PB19-08883
PB19-08883,Education,10901 FOUNDERS WAY,08/24/2020,B,786,1,A
PB19-08883,Education,10901 FOUNDERS WAY,08/24/2020,E,11015,1,A
PB19-09408,Education,425 W RENDON CROWLEY RD,07/16/2020,I-4,2995,1,A
PB19-09408,Education,425 W RENDON CROWLEY RD,07/16/2020,I-4,157,1,A
PB19-09408,Education,425 W RENDON CROWLEY RD,07/16/2020,I-4,175,1,A
PB19-09408,Education,425 W RENDON CROWLEY RD,07/16/2020,I-4,6323,1,A
PB19-09408,Education,425 W RENDON CROWLEY RD,07/16/2020,I-4,350,1,A
PB19-10498,Education,1221 EAGLE BLVD,01/14/2020,E,1536,A,PB19-10605
PB19-10612,Education,1213 EAGLE BLVD,01/14/2020,E,1536,A,PB19-13104
PB19-13378,Education,1075 EAGLE BLVD,08/04/2020,E,1536,A,PB19-13535
PB19-13702,Education,5500 NORRIS ST,05/13/2020,E,968,1,A
PB19-13702,Education,5500 NORRIS ST,05/13/2020,B,4315,1,A
PB19-13721,Education,2900 LUBBOCK AVE,04/16/2020,S-1,1500,1,A
PB19-13721,Education,2900 LUBBOCK AVE,04/16/2020,A-3,5910,1,A
PB19-13721,Education,2900 LUBBOCK AVE,04/16/2020,B,1165,1,A
PB19-13807,Education,1085 EAGLE BLVD,08/04/2020,E,1536,A,PB19-13995
PB19-13995,Education,4501 BRIDGE ST,08/05/2020,E,3691,1,A
PB19-14428,Education,1570 BOLTON ST,09/07/2022,B,5786,3,A
PB19-14428,Education,1570 BOLTON ST,09/07/2022,S-1,9610,3,A
PB19-14428,Education,1570 BOLTON ST,09/07/2022,E,100065,3,A
PB19-15241,Education,10537 NW HIGHWAY 287,08/01/2022,E,32574,A,PB20-01080
PB20-01080,Education,2965 HULEN ST C,12/05/2022,B,685,1,A
PB20-01080,Education,2965 HULEN ST C,12/05/2022,A-3,2889,1,A
PB20-01082,Education,2973 HULEN ST D,12/05/2022,S-1,210,1,A
PB20-01082,Education,2973 HULEN ST D,12/05/2022,E,8642,1,A
PB20-01082,Education,2973 HULEN ST D,12/05/2022,B,148,1,A
PB20-01084,Education,4501 WEST FWY,07/10/2023,B,2856,1,A
PB20-01084,Education,4501 WEST FWY,07/10/2023,E,100921,1,A
PB20-01084,Education,4501 WEST FWY,07/10/2023,S-1,3669,1,A
PB20-01084,Education,4501 WEST FWY,07/10/2023,A-3,1182,1,A
PB20-01326,Education,7500 DUTCH BRANCH RD,07/29/2020,B,600,1,A
PB20-03793,Education,4001 THOM PSON RD,01/28/2022,E,5808,A,PB20-03793
PB20-03793,Education,4001 THOM PSON RD,01/28/2022,E,5591,A,PB20-03793
PB20-04524,Education,10301 BERKSHIRE LAKE BLVD,11/11/2021,E,71414,A,PB20-04524
PB20-05225,Education,1003 W CANNON ST,01/20/2023,B,10148,1,A
PB20-05225,Education,1003 W CANNON ST,01/20/2023,S-1,11695,1,A
PB20-05225,Education,1003 W CANNON ST,01/20/2023,E,67859,1,A
PB20-05479,Education,5074 WILLIE ST,03/08/2022,E,19444,A,PB20-05480
PB20-05630,Education,2400 E SEM INARY DR,01/10/2023,S-1,5436,1,A
PB20-05630,Education,2400 E SEM INARY DR,01/10/2023,E,171213,1,A
PB20-05630,Education,2400 E SEM INARY DR,01/10/2023,B,18829,1,A
PB20-05737,Education,1200 COOKS LN,08/03/2021,E,56138,2,A
PB20-05737,Education,1200 COOKS LN,08/03/2021,S-1,2737,2,A
PB20-05737,Education,1200 COOKS LN,08/03/2021,B,3118,2,A
PB20-05840,Education,8600 CURRENCY DR,07/08/2021,B,1500,A,PB20-05840
PB20-05869,Education,4351 CAM PUS DR,07/22/2022,A-3,472,1,A
PB20-05869,Education,4351 CAM PUS DR,07/22/2022,E,21803,1,A
PB20-05869,Education,4351 CAM PUS DR,07/22/2022,B,1020,1,A
PB20-05869,Education,4351 CAM PUS DR,07/22/2022,S-1,2576,1,A
PB20-05946,Education,1300 CONNER AVE,01/10/2023,B,659,1,A
PB20-05946,Education,1300 CONNER AVE,01/10/2023,S-1,4379,1,A
PB20-05946,Education,1300 CONNER AVE,01/10/2023,E,25368,1,A
PB20-05946,Education,1300 CONNER AVE,01/10/2023,E,7092,1,A
PB20-06155,Education,600 GRIGGS AVE,11/12/2020,E,10362,A,PB20-06157
PB20-07115,Education,7151 LAKE COUNTRY DR,08/12/2021,E,77197,A,PB20-07206
PB20-07206,Education,9228 S HULEN ST,09/29/2021,S-1,366,1,A
PB20-07362,Education,4400 PANOLA AVE,09/01/2021,E,47866,A,PB20-07606
PB20-07611,Education,5805 W BAILEY BOSWELL RD,03/03/2022,A-5,13529,A,PB20-07611
PB20-07851,Education,2935 E SEM INARY DR,11/30/2021,E,80411,A,PB20-07909
PB20-07909,Education,6101 M C CART AVE,04/05/2024,B,2772,1,A
PB20-07909,Education,6101 M C CART AVE,04/05/2024,E,65983,1,A
PB20-07909,Education,6101 M C CART AVE,04/05/2024,S-1,4678,1,A
PB20-07910,Education,6101 M C CART AVE,04/05/2024,E,462,1,A
PB20-08685,Education,4801 M ARINE CREEK PKWY,04/30/2021,B,560,A,PB20-09643
PB20-09643,Education,4801 M ARINE CREEK PKWY,03/30/2021,B,6000,1,A
PB20-09826,Education,3651 SANTOS DR T1,11/09/2020,E,601,A,PB20-09826
PB20-10681,Education,4801 M ARINE CREEK PKWY,03/30/2021,B,6000,1,A
PB20-11408,Education,2301 HORIZON DR,05/04/2021,B,35072,3,A
PB20-12913,Education,3000 CHERRY LN,11/09/2021,E,27582,A,PB20-16204
PB20-16206,Education,5100 EL CAMPO AVE,04/20/2021,E,1504,A,PB20-17044
PB20-17044,Education,5900 CROM WELL M ARINE CREEK RD,09/08/2022,I-4,1217,1,A
PB20-17044,Education,5900 CROM WELL M ARINE CREEK RD,09/08/2022,I-4,5852,1,A
PB20-17044,Education,5900 CROM WELL M ARINE CREEK RD,09/08/2022,I-4,329,1,A
PB20-17044,Education,5900 CROM WELL M ARINE CREEK RD,09/08/2022,S-1,2994,1,A
PB20-17766,Education,6101 M C CART AVE,04/05/2024,E,744,1,A
PB20-17767,Education,6101 M C CART AVE,04/05/2024,E,52,1,A
PB20-18281,Education,6900 BAYBERRY DR,10/18/2024,E,89271,A,PB20-18475
PB21-01512,Education,14700 OLD WEATHERFORD RD,02/06/2023,E,45011,A,PB21-01512
PB21-03032,Education,2001 EDERVILLE RD S,08/11/2021,E,1536,A,PB21-03035
PB21-03479,Education,3209 NW 33RD ST,11/28/2023,B,86,A,PB21-03479
PB21-03479,Education,3209 NW 33RD ST,11/28/2023,E,5438,A,PB21-03714
PB21-03716,Education,2211 M C KINLEY AVE,05/04/2022,E,1504,A,PB21-04521
PB21-04524,Education,6101 M C CART AVE,04/05/2024,E,660,1,A
PB21-04534,Education,6101 M C CART AVE,04/05/2024,E,877,1,A
PB21-04534,Education,6101 M C CART AVE,04/05/2024,E,2400,1,A
PB21-04534,Education,6101 M C CART AVE,04/05/2024,A-3,1466,1,A
PB21-04534,Education,6101 M C CART AVE,04/05/2024,A-3,18209,1,A
PB21-04534,Education,6101 M C CART AVE,04/05/2024,E,6509,1,A
PB21-05137,Education,1640 ALTAM ESA BLVD,01/13/2023,E,10425,A,PB21-05137
PB21-05565,Education,6801 DAN DANCIGER RD,08/25/2021,E,1536,A,PB21-05694
PB21-07792,Education,4801 M ARINE CREEK PKWY,04/13/2023,B,88209,1,A
PB21-07847,Education,2211 M C KINLEY AVE,05/04/2022,E,1536,A,PB21-08051
PB21-08052,Education,8201 PARKWOOD HILL BLVD,04/26/2023,E,3518,A,PB21-11843
PB21-12004,Education,2051 TEXAN DR A,11/04/2021,E,1536,A,PB21-12005
PB21-13089,Education,412 W BOLT ST,09/13/2022,A-3,8613,1,A
PB21-13089,Education,412 W BOLT ST,09/13/2022,A-2,2504,1,A
PB21-13089,Education,412 W BOLT ST,09/13/2022,E,36916,1,A
PB21-13089,Education,412 W BOLT ST,09/13/2022,B,3670,1,A
PB21-13089,Education,412 W BOLT ST,09/13/2022,A-2,1921,1,A
PB21-14545,Education,2900 S UNIVERSITY DR,12/07/2022,A-3,22560,1,A
PB21-14545,Education,2900 S UNIVERSITY DR,12/07/2022,S-1,17400,1,A
PB21-14545,Education,2900 S UNIVERSITY DR,12/07/2022,B,18229,1,A
PB21-14873,Education,3520 E BERRY ST,08/05/2022,B,12807,1,A
PB21-14873,Education,3520 E BERRY ST,08/05/2022,S-1,2193,1,A
PB21-14873,Education,3520 E BERRY ST,08/05/2022,E,20228,1,A
PB21-14873,Education,3520 E BERRY ST,08/05/2022,A-3,8467,1,A
PB21-14873,Education,3520 E BERRY ST,08/05/2022,U,2063,1,A
PB21-16606,Education,6101 M C CART AVE,04/05/2024,E,10012,1,A
PB21-16608,Education,6101 M C CART AVE,04/05/2024,E,10305,1,A
PB21-16608,Education,6101 M C CART AVE,04/05/2024,E,4494,1,A
PB21-16608,Education,6101 M C CART AVE,04/05/2024,E,39439,1,A
PB21-16608,Education,6101 M C CART AVE,04/05/2024,S-1,561,1,A
PB21-16608,Education,6101 M C CART AVE,04/05/2024,E,23776,1,A
PB21-16608,Education,6101 M C CART AVE,04/05/2024,B,3893,1,A
PB21-19666,Education,7639 HARRIS PKWY,08/01/2022,E,1600,1,A
PB21-20026,Education,8829 M C CART AVE,06/13/2023,A-3,16957,A,PB22-01542
PB22-01611,Education,3351 W BONDS RANCH RD,11/15/2024,B,77,1,A
PB22-01612,Education,10700 Shor tgr ass TRL,11/15/2024,B,77,1,A
PB22-01614,Education,3351 W Bonds Ranch RD,10/10/2024,A-5,3164,1,A
PB22-01614,Education,3351 W Bonds Ranch RD,10/10/2024,A-5,3080,1,A
PB22-01619,Education,10950 HILL FIELD LN,10/10/2024,A-3,30172,1,A
PB22-01619,Education,10950 HILL FIELD LN,10/10/2024,A-3,78883,1,A
PB22-01620,Education,10850 Shor tgr ass TRL,11/15/2024,A-5,3120,1,A
PB22-01622,Education,10850 Shor tgr ass TRL,11/15/2024,A-5,3319,1,A
PB22-01623,Education,10850 Shor tgr ass TRL,12/18/2024,B,4110,1,A
PB22-01623,Education,10850 Shor tgr ass TRL,12/18/2024,U,1683,1,A
PB22-01624,Education,10800 Shor tgr ass TRL,11/15/2024,A-5,3704,1,A
PB22-01626,Education,10700 Shor tgr ass TRL,12/18/2024,B,2885,1,A
PB22-01631,Education,10700 Shor tgr ass TRL,11/15/2024,U,1428,1,A
PB22-01631,Education,10700 Shor tgr ass TRL,11/15/2024,S-1,196,1,A
PB22-02453,Education,7655 HARRIS PKWY,08/07/2023,E,58396,A,PB22-02453
PB22-03344,Education,9001 NW HIGHWAY 287,10/23/2023,E,71984,A,PB22-03444
PB22-04215,Education,1989 COLONIAL PKWY,11/21/2023,A-3,7286,A,PB22-04298
PB22-06916,Education,5801 W RISINGER RD,01/26/2024,E,12520,A,PB22-07606
PB22-07606,Education,10351 ORCHARD WAY,12/28/2023,S-1,7973,1,A
PB22-07606,Education,10351 ORCHARD WAY,12/28/2023,E,88872,1,A
PB22-07606,Education,10351 ORCHARD WAY,12/28/2023,A-3,17240,1,A
PB22-08102,Education,"2309 TEXAN DR, BLDG 4",08/16/2022,E,7936,A,PB22-08166
PB22-08167,Education,"2305 TEXAN DR, BLDG 2",08/16/2022,E,2535,PB22-08492,Education
PB22-09073,Education,850 Mount Vista LANE,12/20/2023,E,31920,A,PB22-09073
PB22-09073,Education,850 Mount Vista LANE,12/20/2023,E,29979,A,PB22-09343
PB22-12018,Education,14117 BOREALIS DR,05/13/2024,A-2,5888,1,A
PB22-12018,Education,14117 BOREALIS DR,05/13/2024,S-1,1213,1,A
PB22-12018,Education,14117 BOREALIS DR,05/13/2024,B,1363,1,A
PB22-12018,Education,14117 BOREALIS DR,05/13/2024,E,88201,1,A
PB22-12018,Education,14117 BOREALIS DR,05/13/2024,A-3,5245,1,A
PB22-13390,Education,4801 M ARINE CREEK PKWY,12/21/2023,U,1704,A,PB22-15498
PB22-16868,Education,1220 HIGHWAY 114 RD,10/05/2023,I-4,13245,A,PB22-16919
PB22-16920,Education,1216 DIAMONDBACK LN,08/10/2023,E,2494,A,PB22-16921
PB22-16925,Education,16301 ELEM ENTARY DR,08/10/2023,E,2556,A,PB22-16927
PB22-17895,Education,1100 W ROSEDALE ST,07/10/2024,B,95000,1,A
PB22-20291,Education,300 EAST LOOP 820 FWY,08/01/2023,E,6382,A,PB22-20702
PB22-20702,Education,1100 W ROSEDALE ST,07/02/2024,B,87050,1,A
PB22-22062,Education,1989 COLONIAL PKWY,04/30/2024,A-3,10805,A,PB23-01801
PB23-01801,Education,2200 TEXAN DR,02/21/2025,A-2,2389,1,A
PB23-01801,Education,2200 TEXAN DR,02/21/2025,E,209,1,A
PB23-01801,Education,2200 TEXAN DR,02/21/2025,B,174,1,A
PB23-01844,Education,"16277 ELEM ENTARY DR, BLDG A",08/07/2023,E,1536,A,PB23-01848
PB23-01921,Education,12649 N CAYLOR RD,07/25/2024,A-2,3480,1,A
PB23-01921,Education,12649 N CAYLOR RD,07/25/2024,B,1587,1,A
PB23-01921,Education,12649 N CAYLOR RD,07/25/2024,E,14254,1,A
PB23-03051,Education,"2311 TEXAN DR, BLDG 5",08/21/2023,E,7952,A,PB23-03156
PB23-03156,Education,1073 CANYON M APLE DR,08/26/2024,E,33400,A,PB23-05371
PB23-05473,Education,5148 EAST JEWELL KELLY,08/01/2023,E,1504,A,PB23-06600
PB23-06809,Education,5548 Kilpatrick AVE,01/17/2025,E,32330,A,PB23-06855
PB23-07351,Education,"12665 N CAYLOR RD, BLDG 4",08/22/2023,E,1536,A,PB23-08231
PB23-08720,Education,4200 COUNTRY DAY LN,11/16/2023,E,2880,1,A
PB23-08732,Education,4200 COUNTRY DAY LN,11/16/2023,U,5645,1,A
PB23-08741,Education,4200 COUNTRY DAY LN,11/16/2023,U,1147,1,A
PB23-08747,Education,4200 COUNTRY DAY LN,11/16/2023,E,1536,1,A
PB23-08750,Education,4200 COUNTRY DAY LN,11/16/2023,E,1536,1,A
PB23-08752,Education,4200 COUNTRY DAY LN,11/16/2023,E,1536,1,A
PB23-08755,Education,4200 COUNTRY DAY LN,11/16/2023,E,1536,1,A
PB23-08759,Education,4200 COUNTRY DAY LN,11/16/2023,E,1536,1,A
PB23-08762,Education,4200 COUNTRY DAY LN,11/17/2023,E,1536,1,A
PB23-08773,Education,4200 COUNTRY DAY LN,11/17/2023,E,1536,1,A
PB23-08775,Education,4200 COUNTRY DAY LN,11/17/2023,E,1536,1,A
PB23-08777,Education,4200 COUNTRY DAY LN,11/17/2023,E,1536,1,A
PB23-08778,Education,4200 COUNTRY DAY LN,11/17/2023,E,1536,1,A
PB23-09469,Education,2400 E 1ST ST,07/24/2024,I-4,9307,A,PB23-12117
PB23-12117,Education,4200 COUNTRY DAY LN,05/21/2025,B,14452,1,A
PB23-15455,Education,6944 BLUE MOUND RD,02/28/2024,B,1650,A,PB23-16022
PB24-07267,Education,"3221 PECOS ST, UNIT M -172",10/14/2024,E,6144,A,PB24-07267
PB24-07267,Education,"3221 PECOS ST, UNIT M -172",10/14/2024,E,9055,A,PB24-07268
PB24-07269,Education,"3221 PECOS ST, UNIT M -109",09/05/2024,E,1536,A,PB24-07270
PB24-07271,Education,"3221 PECOS ST, UNIT M -9831",09/10/2024,E,1536,A,PB24-07272
PB24-07273,Education,"3221 PECOS ST, UNIT M -9828",10/14/2024,E,1536,A,PB24-07274
PB24-07275,Education,"3221 PECOS ST, UNIT M -9209",10/04/2024,E,1536,A,PB24-07276
PB24-07277,Education,"3221 PECOS ST, UNIT M -9704",10/04/2024,E,1536,A,PB24-07278
PB24-07279,Education,"3221 PECOS ST, UNIT M -9716",10/04/2024,E,1536,A,PB24-07280
PB24-07281,Education,"3221 PECOS ST, UNIT RR-1",09/09/2024,E,656,A,PB24-07282
PB24-10509,Education,1216 DIAMONDBACK LN,09/20/2024,E,1536,A,PO02-00907